title,price,is_a_bid,link
It by Stephen King 1987 Vintage First Signet Printing Paperback Book,14.99,FALSE,https://www.ebay.com/itm/325351806909?hash=item4bc07a97bd:g:ESUAAOSw4itjK2IM&amdata=enc%3AAQAHAAAA4BINTsNYiUkKe6sLLOufREhvcO0ZIjdw2kl8Ph3d%2FyW96MzsRkRAqf5KDSdgbypyfOmUkNZ9yC8nNeFZ%2Fwi6sP36%2FB42dNxkqXFBoZZJ5TzS4wnfgbhmWfQTn6vd4ya45CnShoA2u53XWq37WRj%2BvSF3py41TbKtGd9ASRRyM4rOKe0jAgo9IbKfLqGRTsr4%2BwZqmoMIhMywbi0bZp0QclFg40pMKOXTE2%2BCsyEsWXwimZbRiWM7zn%2FOE7c%2BrnSGT5DI2oP%2BPb5Z6WefLHCf8PQPhPrZ4SuSQzvTVEqk14J9%7Ctkp%3ABk9SR4y_ic_tYA
"IT, Stephen King (1988) Book Novel - Horror Fantasy Thriller, Acceptable ",15.91,FALSE,https://www.ebay.com/itm/284947624431?epid=96450742&hash=item425833b1ef:g:Ms8AAOSwICpjDFyr&amdata=enc%3AAQAHAAAA4DF1NoEn0p%2BD2DllBAvQSGPAOtp0zdsHI4TfYgIZ9GE%2FSPJ8XfJMkFJcxDJM0Pl37%2FMQwBx33ksBcvEJF0QjePVJ%2FLTPyCM6oOlKR7esj%2FmJOQUgBcWWJku2TVLKLQowXiCM6Ak3iim%2BUKi3L57qXBWW4H09gtM3A0Q2ZaJPik49go67k%2BnNFbL4ZxVIDPKA4IqVzd3lIIL%2B1JWHctHM0E76JCS2S0Dn7OV%2FBfQNvjbFp7b3wf%2FsTk0eKTSBiC5vlUEbFUDyiYuMKRr3guST7mQh%2FwSL2w9WAEpzozUh8I10%7Ctkp%3ABk9SR5S_ic_tYA
"It by Stephen King (1986, Hardcover)",16.46,FALSE,https://www.ebay.com/itm/294854892239?epid=490966&hash=item44a6b89acf:g:toYAAOSwYpBiM4ZJ&amdata=enc%3AAQAHAAAAoDrEQ1N8R70zwh5OuqXC4FIvZNmcGwdbyvbZcNk3yfVDTD429n4RxEQo06v5rhkdot1OkggIDh0KQ0WH1J5Z1CosJfTi6i4%2B85PQUY10ULpbWa76IsKAMcgkrWJ4OWj3gkpKkqVZmtQZ9X2DHGGQ1DEqbGWfD05vBfjrCXNUNzj38Zwx17RwliBDm2j3Q7lb0guXsLQ%2FrjBCNYBBEhtAXCY%3D%7Ctkp%3ABk9SR4y_ic_tYA
IT Paperback By Stephen King Horror Terror Bestseller 1987 Vintage,16.54,FALSE,https://www.ebay.com/itm/204074289227?hash=item2f83c6884b:g:VuwAAOSwr3FjAyB-&amdata=enc%3AAQAHAAAA4Gzc01AYFmawyo%2BHGe24NhIXVi0oQTvFYUT3rlRqrsA%2FAplyeLrkKM0CNnYuryPygetoecJtPhTEm0ixRMLvb19w%2BdOfehbCGboNrScuepO3%2F%2B6nez9r101f7PfmrSmwA9cZ2QvMosFq8%2BVwcU%2BmunttKpZT25epdwFCwlyydAYIFc9IuVv3W0zxePQy368i7qYLiV%2FtgNdIT%2BGLZ3tBDtO4qY8I8PYWpi1FcvbnxGbx5PGojraqdEaG5UrvW5Avam7WO1o3yMmlNAgtnLP06q2KykEMzA%2B06U5UAjhHWSoo%7Ctkp%3ABk9SR46_ic_tYA
"Stephen King - IT  and  THE STAND The Complete Uncut Edition,Hardcover 1986,1990",16.95,FALSE,https://www.ebay.com/itm/265855885482?epid=150278&hash=item3de63ee0aa:g:imIAAOSwSlZjC7JB&amdata=enc%3AAQAHAAAA4NHYVltnRJY2DeWqNbummG3Pq3%2BKXS%2BTRiaM9XSUv%2FJwRTmW9%2FuC%2BhxalacqMJDUYwyH8wRPR6den%2BHG%2B2M7l4FKp4PPctukBgRgWBLedVB6nxWK45%2FhqGDS4ypuH5dedEMZ1lGYoGpLwawEv2M27IXEzdZrFvqoWuSzGI%2FcCSsdtB0o%2Bt3dPBeRo913s%2B0cus78gPOw92gSBon5l2hNZdKdy1uEdRB4N7no2pxiAWlI5oiBksRlIdOdZ4Vhtwp3mCEqGaHchzi2gR07wAX6Tz7xnQYnmVv3G44Qm0CVTUuJ%7Ctkp%3ABk9SR5C_ic_tYA
Lot Of 4 Stephen King Paperbacks It The Stand Skeleton Crew Different Seasons (H,17,FALSE,https://www.ebay.com/itm/185397875274?hash=item2b2a93124a:g:p3cAAOSwjINiZGgs&amdata=enc%3AAQAHAAAA4M7x82zyGZaOobpNnlkX7ujXci5QAQrc5zNaeQWdff3Q6rxWsTeWMHuFRSArNuY9vzDe9uMDrP%2Bilqo9tJK5eFxZQhrGp3WovxtpknN80Z%2BRiZ8aM1PxwdNWPLh2lOW1DUUrD2FhMPNK%2Fy1QGea0Wo2tKFw4IFmtKfJWyGbdjRROrUov5MTmc2wwRQzUWko3eF6WiUPHrKSPV6rh%2BIonRn1FGXiJc0Y%2BsrA3%2FzwJ6hJovxSS6H54m%2Fbmu5PzvV27Bsr%2FXDVzE7XIBmTZNCapkt53H9IG1uukwtTmYuyqXaf4%7Ctkp%3ABFBMlL-Jz-1g
IT Vol.1 - Stephen King - Japanese Novel Book - Japan,17.91,FALSE,https://www.ebay.com/itm/203861014915?hash=item2f77103983:g:v8IAAOSwJjdiKEo2&amdata=enc%3AAQAHAAAAoHvbZW%2BPFm7e5J83M9WbCruvfy8YODGx62lDCqj6gSvxv9XqrfpohuMbbUAbEkZ5%2Buywy4RuMaKDwgaqSRYaYOQq2V2PY8r7uObfTFlVlA9gyGfu%2FHYOLRqXzkQQ4uRZRd%2F8whrV0zUPsV4k8ilNbgmrC4OiKErNqiN%2Fmxp2avoNcuw0Z4sBs9Of6QcMhn54K3TZySoY2z6zD1U1LFpqhlE%3D%7Ctkp%3ABk9SR5C_ic_tYA
It: A Novel by Stephen King (English) Paperback Book,18.79,FALSE,https://www.ebay.com/itm/383051924721?epid=27034407303&hash=item592fac84f1:g:PeYAAOSw-TpjLkyx&amdata=enc%3AAQAHAAAA4H2ndYUy1sF1aK2NEhXkgqY451ozCDq%2BsBrPKLfS%2FuVrxCDmsXHSjq1tveIG5zgF%2By4UwmZuPfB5u3cd8Z7eqVz80gq4t2COYVGjTsKaMdh1o8Zy5IVz6k1dofGD8Bns5vI1nSHKuOXjTWzt311lRhJJZjwjXRu3lc7AoGwp0RtnMUIzt1whPyBGZ88RrvKMSNpKi4szMqIsHD1wGtA9eOSYH89TFJtcgbZ0mu4y9l3HW15g0ohHOGT9jUcFRG%2Fily6yOBaK1BM4vz18kdr1phbOUipyddi5MBGUNq5BCP2C%7Ctkp%3ABFBMjr-Jz-1g
"STEPHEN KING | IT (Hardcover, 1987) Vintage No Dust Jacket Free Postage",19.88,FALSE,https://www.ebay.com/itm/125458661914?hash=item1d35eb421a:g:dHcAAOSw2mpi9Guh&amdata=enc%3AAQAHAAAA4JTq9b2dyrRWqGUtBkE%2F5HtyIGoZhxGMeQn4ik2ht%2FWwIG9X%2FKcJmrkuXbMw3oJMVrS90FG9Yvr5eMw71t7wT%2BcFOzzBA8rLTi%2FLDaw1A%2B7UYMlGNo8c2s3GCoFKEMXLJUbJJD74eLtYyWnMck4j5ne%2FGDgYeboRK6MaggEywyab3Dp6pDQL1Nbf%2Bj%2BcXZnQ7%2BK688BJw2K1T0dT3zfa%2BUXF4IWeJ77ZwsEU1Tf7GVua0dQi31kcjfdE3YSN2HtcqaMiTLXI1jMCfFBgfS6fUiNNX%2FkjK%2B%2B6uXgSjxEvODiK%7Ctkp%3ABk9SR5S_ic_tYA
"It by Stephen King, 1st Edition 1986 $22.95 Viking Hardcover",19.95,TRUE,https://www.ebay.com/itm/165687760605?epid=490966&hash=item2693c296dd:g:qO4AAOSwb3xjA13o&amdata=enc%3AAQAHAAAAoHApQsQJ6%2Fkng8n%2BedbRPm73HiLlNf2n4NrUtSUgwOJINmrC2b5JjYEUA8ZAJs5z2qqFR%2FWvB3usU7%2FNZKeYqvJIkMCDWn518DO6ta0Y6wygXh7imUiqHcfzJXdgc6ABYOhBE3EmgNDLIqC%2BXtHSXVK278Vl089FmBUe%2FNH0paW%2BLhYyu5cmL%2FPK3YUQ%2FWvQ1O2VesMULWITJksl%2B8den1Y%3D%7Ctkp%3ABk9SR5K_ic_tYA
